id,files_name,start_time,end_time,network,stations_code,channels,classID,class
0,0_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GSI,BHN,0,certified
0,0_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GSI,BHE,0,certified
0,0_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,GSI,BHZ,0,certified
1,1_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KCSI,BHN,0,certified
1,1_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KCSI,BHE,0,certified
1,1_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,KCSI,BHZ,0,certified
2,2_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LDSI,BHN,0,certified
2,2_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LDSI,BHE,0,certified
2,2_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,LDSI,BHZ,0,certified
3,3_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PBSI,BHN,0,certified
3,3_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PBSI,BHE,0,certified
3,3_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PBSI,BHZ,0,certified
4,4_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PSI,BHN,0,certified
4,4_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PSI,BHE,0,certified
4,4_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,PSI,BHZ,0,certified
5,5_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RGRI,BHN,0,certified
5,5_E,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RGRI,BHE,0,certified
5,5_Z,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,RGRI,BHZ,0,certified
6,6_N,2021-01-01T00:00:00.000000Z,2021-01-31T00:00:00.000000Z,IA,SBSI,BHN,0,certified
